vendor_name,vendor_url,vendor_type,total_specialties,high_confidence_count,pages_crawled,success,all_tags,high_confidence_tags
Synergent Biochem,http://www.synergentbiochem.com/,Biological Products Manufacturing and Testing CMO,0,0,1,True,None - Analysis Failed,
LifeSpace Labs,https://www.lifesplabs.com/flexbioculture,,0,0,0,False,None - Analysis Failed,
Biostir,https://www.biostir.com/english/,Allergen Testing and Development CRO,9,9,10,True,"Pharmacological Experiments, Contract Testing Services, Particle and Powder Handling, Efficacy Tests against Pests and Insects, Quantity Analysis of Allergens, Consulting Services for Product Development, Atopic Dermatitis Models, Manufacture and Sales of Antigens, Allergen Testing","Pharmacological Experiments, Contract Testing Services, Particle and Powder Handling, Efficacy Tests against Pests and Insects, Quantity Analysis of Allergens, Consulting Services for Product Development, Atopic Dermatitis Models, Manufacture and Sales of Antigens, Allergen Testing"
ImYoo,https://imyoo.health,Genomic Data Analysis and Biomarker Discovery Platform,13,4,10,True,"Single-Cell Sequencing, Biomarker Discovery, Immune Cell Isolation, Integration of Multi-Omics Data, Immune Profiling of Multiplex Cytokines, RNA Sequencing (RNA-Seq), Immune Cell Assays, Transcriptome Sequencing, Genomic Data Analysis, Machine Learning and Predictive Modeling, Cytokine Quantification and Profiling, Patient Recruitment and Retention, Bioinformatics for Biomarker Analysis","Single-Cell Sequencing, Biomarker Discovery, Transcriptome Sequencing, Machine Learning and Predictive Modeling"
Carpaccio.cloud,https://carpaccio.cloud/,,0,0,0,False,None - Analysis Failed,
ATG:biosynthetics,http://www.atg-biosynthetics.com/,Synthetic Biology and Bioinformatics Solutions Provider,16,9,10,True,"Gene Synthesis, Multi-Gene/Protein Expression Systems, Synthetic Bioinformatics, Computational Biology, Sequence Optimization, Protein Expression, Synthetic Gene Circuits, Multi-Label Flexible Expression Systems, Pathway Engineering, Metabolite Profiling Data by Mass Spectrometry, DNA Assembly, Bioinformatics Consulting, Gene Expression Measurements, Antibody Development, Combinatorial Chemistry, Genome Engineering","Gene Synthesis, Multi-Gene/Protein Expression Systems, Synthetic Bioinformatics, Sequence Optimization, Protein Expression, Multi-Label Flexible Expression Systems, Pathway Engineering, DNA Assembly, Bioinformatics Consulting"
New Jersey Laboratories Inc,http://www.njlabs.com/,,0,0,0,False,None - Analysis Failed,
Quantum Analytics Group,https://www.quananalytics.com/testing-services/pharmaceuticals.html,,0,0,0,False,None - Analysis Failed,
Pharmaceutical Manufacturing Research Services,http://pmrsinc.com,Contract Manufacturing Organization (CMO),18,14,10,True,"Pharmaceutical Manufacturing, Controlled Release Formulations, Quality Management Systems (QMS) and Quality Assurance (QA), cGMP Compliance and Inspections, Analytical Testing, Liquid Dosage Forms, Immediate Release Oral Formulations, Analytical Method Development and Method Transfer, Stability Testing, In-Process and Release Testing, Validation of Cleaning Processes, GMP Compliance and Inspections, Drug Product Contract Manufacturing, Formulation Development, Solid-Form Screening, Process Analytical Technology (PAT), Metal Detection, Regulatory Compliance and Audit Support","Pharmaceutical Manufacturing, Quality Management Systems (QMS) and Quality Assurance (QA), cGMP Compliance and Inspections, Analytical Testing, Liquid Dosage Forms, Analytical Method Development and Method Transfer, Stability Testing, In-Process and Release Testing, Validation of Cleaning Processes, GMP Compliance and Inspections, Drug Product Contract Manufacturing, Process Analytical Technology (PAT), Metal Detection, Regulatory Compliance and Audit Support"
Express Genomics,http://www.express-genomics.com/,Genomics and Molecular Biology Services Provider,2,1,10,True,"cDNA synthesis, Gene Expression Measurements",cDNA synthesis
